Nummer, Naam,Pagina,Regelnummers,Handeling,Betreft de tekst,Toevoegen / wijzigen in,Toelichting,Samenvatting, Ingediend
1,Jorn van ‘t Hof,15,358,Toevoegen,Kopje ‘natuur en vervoer’,"4. Autorijden is voor mensen met een handicap, vele gezinnen en mensen buiten de randstad essentieel. We pleiten niet voor een kilometerheffing of een verdere accijnsverhogingen op brandstoffen. Met onze MIRT gaan we de concurrentie aan met auto’s, waardoor mensen eerder hun auto laten staan of er geen aanschaffen. Zo zorgen we ervoor dat de kosten van klimaatverandering niet bij de gewone burger komt te liggen.5. Voor mensen met een gehandicaptenpas komt er vrijstelling komen op de motorrijtuigenbelasting (MRB) en aanschafbelasting (BPM). Ook als dit geen aangepaste rolstoelbus betreft. Mobiliteit is een recht.6. Wij schromen niet om auto’s om te laten rijden ten opzichte van het openbaar vervoer of de fiets. Zo worden fietsroute’s en OV-routes automatisch efficiënter. Het gebruik van 30km wegen moedigen wij aan.","Liberaal linkse partijen in Nederland willen mensen een auto uitprijzen in de hoop dat burgers een ander vervoersmiddel pakken. Dit is echter een verkeerd, neoliberaal denkbeeld. Veel mensen die een auto hebben, kunnen namelijk écht niet anders. Als je de concurrentie aan gaat met betere alternatieven krijg je mensen er echt wel uit.Dit neemt niet weg dat je bijvoorbeeld kan nadenken over ongunstigere autoroute’s, minder parkeerplaatsen of meer 30km/u zones, zodat OV en fietsen qua tijdswinst relatief efficiënter wordt.","Geen kilometerheffing, voor gehandicapten geen MRB of BPM meer, auto’s om laten rijden."
2,Jorn van ‘t Hof,15,339,Toevoegen,Kopje klimaatrechtvaardigheid nu,"We investeren in betrouwbare, uitstootvrije en genationaliseerde kernenergie. Kerncentrales hebben een grote eenmalige investering nodig, maar de operationele kosten zijn verwaarloosbaar. Na de opening van de centrale kan je Nederlandse burgers voorzien van gratis stroom en verdien je de centrale terug door bedrijven te laten voor elektriciteitsgebruik. Kerncentrale’s zorgen tevens voor veel hoogwaardige, langdurige banen in regio’s met minder werkgelegenheid.","We moeten geen enkele technologie voor de energietransitie schuwen. Kernenergie is bewezen schoon, veilig en gruwelijk goedkoop. Ook zorgen kerncentrales voor hoogwaardige, veilige en langdurige banen met een grote bestaanszekerheid.Het is absurd dat we rechtse partijen laten weglopen met deze technologie, die uitermate geschikt zijn voor klimaatrechtvaardigheid en een toekomst met 0% uitstoot.Sidenote: Er zijn angsten dat uranium elders in de wereld gewonnen zal worden, maar dit is niet perse nodig. Ook in Zweden gaan ze beginnen met het winnen van uranium, terwijl zonnepanelen en windmolens ook worden opgebouwd met materialen uit achtergestelde landen.",Gratis kernenergie voor Nederlandse burgers.
3,Jorn van ‘t Hof,19,440,Toevoegen,kopje: wonen is een recht,De inkomensgrens voor sociale huur verdwijnt. In 2016 is er via de Wet Passend Toewijzen een maximale inkomensgrens ingesteld om een sociale huurwoning te kunnen bemachtigen.Uiteindelijk gaat Nederland naar een systeem toe met alleen maar voldoende sociale huurwoningen voor iedere Nederlander en stoppen we met vrije-sectorhuur en middenhuur.,De vrije sector en middenhuur zijn verschrikkelijk kapitalistisch en neoliberaal. Geef iedereen het échte recht op een woning en zorg dat iedereen weer toegang heeft tot een sociale huurwoning. Dit zorgt tevens voor meer gemengde wijken en voor een volgende stap naar onze socialistische droom.,Geen inkomensgrens op sociale huur.
4,Daniel van der Lek,14,330-334,Wijzigen,"“4. Ziekmakende installaties, zoals Tata en Chemours, worden uit klimaatrechtvaardige331 overwegingen niet gesloten, maar genationaliseerd en vergroend….”","VERVUILENDE BEDRIJVEN zoals Tata en Chemours, worden uit klimaatrechtvaardige overwegingen niet gesloten, maar genationaliseerd en vergroend. Het sluiten van deze bedrijven zorgt niet alleen voor massaal banenverlies, maar zal er ook toe leiden dat we het probleem verplaatsen naar landen buiten Europa en klimaatracisme verder in de hand werken.ZIEKMAKENDE INSTALLATIES WORDEN WEL PER DIRECT GESTOPT.",ik zou een scheiding maken tussen de bedrijven als geheel en de ziekmakende onderdelen.,bedrijven niet sluiten maar wel de vervuilende processen stoppen
5,Daniel van der Lek,15,345-351,Wijzigen,"“Nederlandse vliegvelden, waaronder Schiphol, mogen niet verder uitbreiden.”","Voorstel: “Nederlandse vliegvelden, waaronder Schiphol, worden verplicht hun vluchtaanbod zo aan te passen dat uitstoot van broeikasgassen jaarlijks vermindert en in 2030 verwaarloosbaar is”.","Deze zin is in praktijk in tegenspraak met de eis een bladzijde eerder regels 320-322: “De Nederlandse uitstoot van broeikasgassen is in 2025 minstens 75% lager (in scope 1, 2 én 3 emissies) dan in 1990 en staat in 2030 op 0. Deze doelen worden wettelijk vastgelegd en zijn bindend. “",Vliegvelden moeten flink krimpen om klimaatdoelen te halen
6,Michael Hajkowski,15,341,Toevoegen,"Hierbij wordt rekening gehouden met inkomenspositie, zodat mensen met lagere inkomens niet de rekening gepresenteerd krijgen voor de energietransitie.","6. Om de klimaatcrisis aan te pakken, moet eerst de desinformatiecrisis aangepakt worden. Bij1 stelt een parlementaire commissie in die onderzoek doet naar de geschiedenis van desinformatie ten aanzien van de menselijke invloed op klimaatverandering en de mogelijkheid tot een verbod op desinformatie.","In de jaren ’90 was er de politieke wil om klimaatverandering tegen te gaan. Zelfs Thatcher had het er over. Tegelijk kwamen de grote fossiele bedrijven met een succesvolle propagandacampagne tegen klimaatwetenschap, zie de Global Climate Coalition.Verder zijn er bladen als De Telegraaf en Elsevier die de klimaatcrisis nog altijd bagatelliseren en ontkennen.",Pak de desinformatiecrisis aan!
7,Michael Hajkowski,12,273,Toevoegen,"1. Het recht op huisvesting, voeding en gezondheidszorg wordt geherformuleerd verankerd","1. Onze maatschappij is sociaal en ecologisch destructief; de afgelopen generaties hebben hierdoor een slechtere aarde geërfd dan de vorige. Wij stellen een Bureau voor Intergenerationele Rechtvaardigheid voor die intergenerationeel onrecht identificeert, bijhoudt, hier onderzoek naar doet en oplossingen zoekt.","De laatste vijf eeuwen erft elke generatie een wereld die in sociaal en ecologisch opzicht achteruit gaat. Sinds het gebruik van fossiele brandstoffen is dit proces versneld. Aangezien politici dit proces niet hebben tegengehouden, moet lange termijn analyse, visie en planning geïnstitutionaliseerd worden.",Intergenerationele Rechtvaardigheid
8,Michael Hajkowski,58,1508,Toevoegen,Zij weten daarom beter dan de landelijke overheid wat er lokaal het hardst nodig is.,"8. In overheids- en semioverheidsorganisaties dringen doorgaans opportunistische baantjesjagers door tot bestuurlijke en managementposities. Hierom is een onafhankelijke organisatie nodig die mensen selecteert op hun werkelijke kwaliteiten, zoals inzicht en een karakter die het algemeen belang dient in plaats van het eigen belang. Dit moet zo gebeuren dat ook de kwaliteiten van mensen uit gemarginaliseerde groepen eindelijk eens erkend worden.","In een aflevering van Zembla had Ben Tiggelaar het er over dat de carrièregerichte managers doorgaans promotie maken in plaats van de werkgerichte managers. De eerste richt zich op profileren en netwerken, de tweede richt zich op de werknemers en organisatie. Ik denk dat dit de reden is dat bijvoorbeeld kinderen in de jeugdzorg nog altijd niet adequaat bijgestaan worden. Dit is immers iets waarvan de overgrote meerderheid wilt dat dit goed geregeld is.",Weg met de opportunistische baantjesjagers!
9,Maarten Steenhagen,19,444,Wijzigen,Ook worden jongeren op hun 16e automatisch ingeschreven voor Woningnet in hun woonplaats.,Ook worden jongeren op hun 16e automatisch ingeschreven als woningzoekende in hun woonplaats.,Niet alle woonplaatsen in het Koninkrijk hebben Woningnet.,"Schrijf 16+ in als woningzoekende, niet noodzakelijk bij Woningnet"
10,Alba Arendsen,13,287,Wijzigen,KLIMAAT,"NATUUR, MILIEU, KLIMAAT EN DIERENRECHTEN",Deze dingen hangen allemaal zeer nauw samen en verdienen het elk om in de titel van het hoofdstuk genoemd te worden en in de inhoud behandeld.,"klimaat > natuur, milieu, klimaat en dierenrechten"
